Nombre de la imagen,Peso real (g),Peso estimado (g),RMSE (g)
CUY_00_091_01,915.0,725.5769298783057,189.4230701216943
CUY_00_171_02,785.0,452.9551886813399,332.0448113186601
CUY_00_212_03,762.0,482.65716826700157,279.34283173299843
CUY_00_087_04,1500.0,565.1862401157329,934.8137598842671
CUY_00_087_07,1500.0,733.2145817717615,766.7854182282385
CUY_00_082_10,850.0,432.8002739624981,417.1997260375019
CUY_00_190_03,950.0,552.4568202933064,397.54317970669365
CUY_00_155_04,868.0,526.9979806484536,341.00201935154644
CUY_00_155_01,868.0,512.3591478526632,355.6408521473368
CUY_00_213_03,644.0,410.5237892732519,233.4762107267481
CUY_00_190_01,950.0,572.8238920091886,377.1761079908114
CUY_00_171_01,785.0,445.5296937849245,339.4703062150755
CUY_00_091_02,915.0,631.3792231923502,283.6207768076498
CUY_00_082_09,850.0,506.41875193553085,343.58124806446915
CUY_00_212_05,762.0,595.3125336954753,166.68746630452472
CUY_00_190_02,950.0,419.0100691548695,530.9899308451305
CUY_00_186_03,387.0,336.48099730613825,50.51900269386175
CUY_00_087_06,1500.0,618.6498033699238,881.3501966300762
CUY_00_217_03,1014.0,524.0277826898874,489.97221731011257
CUY_00_186_01,387.0,292.3523419217267,94.64765807827331
CUY_00_087_03,1500.0,585.5533118316151,914.4466881683849
CUY_00_213_02,644.0,573.4603630003099,70.53963699969006
CUY_00_213_01,644.0,414.13045822293935,229.86954177706065
CUY_00_091_08,915.0,736.6090937244086,178.39090627559142
CUY_00_121_06,1010.0,548.425837349538,461.574162650462
CUY_00_190_04,950.0,598.7070456481224,351.2929543518776
CUY_00_217_02,1014.0,521.906212719483,492.09378728051695
CUY_00_091_04,915.0,675.7200355738022,239.2799644261978
CUY_00_155_05,868.0,594.0395917132327,273.96040828676735
CUY_00_212_01,762.0,386.974362601763,375.025637398237
CUY_00_213_05,644.0,412.43320224661585,231.56679775338415
CUY_00_087_05,1500.0,706.9071141387469,793.0928858612531
CUY_00_186_02,387.0,280.0472360933811,106.95276390661888
CUY_00_212_02,762.0,381.45828067871156,380.54171932128844
CUY_00_087_02,1500.0,525.0885676750896,974.9114323249104
CUY_00_091_03,915.0,854.9926980729742,60.007301927025765
CUY_00_087_09,1500.0,807.8938447299964,692.1061552700036
CUY_01_024_05,771.1064,906.3346913567607,135.22829135676068
CUY_01_024_10,771.1064,830.5946434133235,59.48824341332352
CUY_01_024_03,771.1064,703.3004451890595,67.80595481094053
CUY_01_024_01,771.1064,922.8829371259151,151.77653712591507
CUY_01_024_11,771.1064,800.6805068306215,29.57410683062153
CUY_01_026_06,734.81904,1069.271265083819,334.4522250838189
CUY_00_217_04,1014.0,541.6368134442439,472.3631865557561
CUY_01_026_02,734.81904,774.1608822005664,39.341842200566475
CUY_01_026_01,734.81904,905.4860633685989,170.66702336859896
CUY_01_024_09,771.1064,820.8354215494634,49.72902154946337
CUY_01_026_04,734.81904,926.701763072643,191.882723072643
CUY_01_024_07,771.1064,749.7628275409159,21.343572459084157
CUY_01_026_09,734.81904,801.9534488128642,67.1344088128642
CUY_01_026_10,734.81904,651.534137911192,83.28490208880794
CUY_01_024_08,771.1064,667.2337556921846,103.87264430781545
CUY_01_026_12,734.81904,645.3815849970192,89.43745500298076
CUY_01_026_03,734.81904,719.8486909582138,14.970349041786221
CUY_01_026_08,734.81904,695.874950292644,38.94408970735594
CUY_01_026_11,734.81904,815.3193396264119,80.5002996264119
CUY_01_024_02,771.1064,784.556575055548,13.450175055548016
CUY_01_026_07,734.81904,773.3122542124047,38.49321421240472
CUY_01_026_05,734.81904,964.0413945517605,229.22235455176053
CUY_01_024_06,771.1064,1328.9514294613177,557.8450294613177
CUY_01_024_04,771.1064,746.7926295823497,24.31377041765029
CUY_01_024_12,771.1064,595.1003766984348,176.00602330156516
